Image ID,Image name,Annotation status,Points,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
5500706,20241027-AMP71899.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,15.000,26.000,0.000,0.000,0.000,40.000
5500702,20241027-AMP71900.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,22.000,0.000,0.000,0.000,0.000,8.000,6.000,0.000,0.000,0.000,58.000
5500704,20241027-AMP71901.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,33.000,0.000,6.000,0.000,0.000,2.000,15.000,0.000,0.000,0.000,43.000
5254684,20241028-AMP57350.jpg,Unconfirmed,100,0.000,0.000,0.000,2.000,2.000,0.000,0.000,0.000,2.000,0.000,51.000,0.000,0.000,5.000,15.000,0.000,0.000,0.000,23.000
5254685,20241028-AMP57351.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,2.000,0.000,0.000,0.000,0.000,0.000,56.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,30.000
5254686,20241028-AMP57352.jpg,Unconfirmed,100,0.000,0.000,0.000,3.000,1.000,0.000,0.000,0.000,6.000,0.000,46.000,0.000,0.000,5.000,15.000,0.000,0.000,0.000,24.000
5254682,20241028-AMP57353.jpg,Unconfirmed,100,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,8.000,0.000,65.000,0.000,0.000,1.000,4.000,0.000,0.000,0.000,19.000
5254683,20241028-AMP57354.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,72.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,19.000
5254681,20241028-AMP57355.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,82.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,14.000
5254680,20241028-AMP57356.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,80.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,15.000
5254679,20241028-AMP57357.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,75.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,20.000
5254678,20241028-AMP57358.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,88.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,8.000
5254677,20241028-AMP57359.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,88.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,9.000
5254676,20241028-AMP57360.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,96.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000
5254675,20241028-AMP57361.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,72.000,0.000,0.000,3.000,5.000,0.000,0.000,0.000,17.000
5254673,20241028-AMP57362.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,81.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,13.000
5254674,20241028-AMP57363.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,4.000,0.000,79.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,14.000
5254672,20241028-AMP57364.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,3.000,0.000,60.000,0.000,0.000,3.000,9.000,0.000,0.000,0.000,24.000
5254671,20241028-AMP57365.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,73.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,21.000
5254670,20241028-AMP57366.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,2.000,0.000,55.000,0.000,0.000,2.000,8.000,0.000,0.000,0.000,31.000
5254669,20241028-AMP57367.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,75.000,0.000,0.000,2.000,5.000,0.000,0.000,0.000,17.000
5254668,20241028-AMP57368.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,6.000,0.000,69.000,0.000,0.000,2.000,5.000,0.000,0.000,0.000,17.000
