Image ID,Image name,Annotation status,Points,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
4992943,AP140190.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,13.000,0.000,0.000,0.000,1.000,0.000,4.000,0.000,0.000,0.000,37.000,0.000,0.000,0.000,44.000
4992942,AP140191.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,1.000,0.000,23.000,0.000,0.000,1.000,53.000,0.000,0.000,0.000,15.000
4992941,AP140192.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,36.000,0.000,0.000,5.000,51.000,0.000,0.000,0.000,5.000
4992940,AP140193.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,12.000,0.000,0.000,1.000,42.000,0.000,0.000,0.000,36.000
4992939,AP140194.jpg,Unconfirmed,100,0.000,0.000,1.000,0.000,23.000,0.000,0.000,0.000,7.000,0.000,3.000,0.000,0.000,0.000,58.000,0.000,0.000,0.000,8.000
4992936,AP140195.jpg,Unconfirmed,100,0.000,0.000,1.000,0.000,10.000,0.000,0.000,0.000,1.000,0.000,23.000,0.000,0.000,0.000,60.000,0.000,0.000,0.000,5.000
4992938,AP140196.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,22.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,72.000,0.000,0.000,0.000,1.000
4992935,AP140197.jpg,Unconfirmed,100,0.000,0.000,3.000,0.000,31.000,0.000,0.000,0.000,9.000,1.000,9.000,0.000,0.000,1.000,46.000,0.000,0.000,0.000,0.000
4992933,AP140198.jpg,Unconfirmed,100,0.000,0.000,1.000,0.000,8.000,0.000,0.000,0.000,5.000,0.000,27.000,0.000,0.000,1.000,50.000,0.000,0.000,0.000,8.000
4992934,AP140199.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,30.000,0.000,0.000,0.000,57.000,0.000,0.000,0.000,3.000
4992932,AP140200.jpg,Unconfirmed,100,0.000,0.000,3.000,3.000,23.000,1.000,0.000,0.000,2.000,0.000,9.000,0.000,0.000,0.000,57.000,0.000,0.000,0.000,2.000
4992931,AP140201.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,31.000,0.000,0.000,0.000,1.000,0.000,23.000,0.000,0.000,0.000,39.000,0.000,0.000,0.000,6.000
4992929,AP140202.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,40.000,0.000,0.000,0.000,48.000,0.000,0.000,0.000,6.000
4992928,AP140203.jpg,Unconfirmed,100,0.000,0.000,2.000,0.000,27.000,1.000,0.000,0.000,6.000,0.000,20.000,0.000,0.000,1.000,42.000,0.000,0.000,0.000,1.000
4992927,AP140204.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,26.000,0.000,0.000,0.000,1.000,0.000,5.000,0.000,0.000,0.000,66.000,0.000,0.000,0.000,1.000
4992926,AP140205.jpg,Unconfirmed,100,0.000,0.000,5.000,2.000,36.000,0.000,0.000,0.000,5.000,0.000,7.000,0.000,0.000,0.000,45.000,0.000,0.000,0.000,0.000
4992924,AP140206.jpg,Unconfirmed,100,0.000,0.000,0.000,2.000,20.000,0.000,0.000,0.000,1.000,0.000,19.000,0.000,0.000,0.000,58.000,0.000,0.000,0.000,0.000
4992923,AP140207.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,0.000,26.000,0.000,0.000,0.000,65.000,0.000,0.000,0.000,1.000
4992922,AP140208.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,42.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,53.000,0.000,0.000,0.000,3.000
4992921,AP140209.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,86.000,2.000,0.000,0.000,1.000
4992920,AP140210.jpg,Unconfirmed,100,0.000,0.000,4.000,0.000,26.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,69.000,0.000,0.000,0.000,0.000
4992918,AP140211.jpg,Unconfirmed,100,0.000,0.000,3.000,0.000,21.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,59.000,2.000,0.000,0.000,14.000
4992917,AP140212.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,21.000,0.000,0.000,0.000,1.000,0.000,5.000,0.000,0.000,0.000,73.000,0.000,0.000,0.000,0.000
