Image ID,Image name,Annotation status,Points,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
5207580,AP103798.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,17.000,0.000,0.000,0.000,0.000,0.000,3.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,78.000
5207581,AP103799.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,55.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,41.000
5207579,AP103800.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,20.000,1.000,0.000,0.000,15.000,0.000,0.000,0.000,55.000
5207578,AP103801.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,29.000,1.000,0.000,0.000,17.000,0.000,0.000,0.000,47.000
5207577,AP103802.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,26.000,0.000,0.000,0.000,1.000,0.000,21.000,2.000,0.000,0.000,11.000,0.000,0.000,0.000,39.000
5207575,AP103803.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,48.000,0.000,0.000,0.000,1.000,0.000,8.000,2.000,0.000,0.000,2.000,0.000,0.000,0.000,39.000
5207573,AP103804.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,47.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,41.000
5207571,AP103805.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,54.000,0.000,0.000,0.000,0.000,0.000,13.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,18.000
5207569,AP103806.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,32.000,0.000,0.000,0.000,0.000,0.000,4.000,1.000,0.000,0.000,8.000,0.000,0.000,0.000,55.000
5207568,AP103807.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,47.000,0.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,27.000
5207566,AP103808.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,53.000,0.000,0.000,0.000,1.000,0.000,13.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,19.000
5207562,AP103810.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,56.000,0.000,0.000,0.000,1.000,0.000,18.000,1.000,0.000,0.000,8.000,0.000,0.000,0.000,16.000
5207559,AP103811.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,40.000,0.000,0.000,0.000,0.000,0.000,22.000,2.000,0.000,0.000,12.000,0.000,0.000,0.000,24.000
5207557,AP103812.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,43.000,0.000,0.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,44.000
5207555,AP103813.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,43.000,0.000,0.000,0.000,1.000,0.000,27.000,1.000,0.000,0.000,14.000,0.000,0.000,0.000,14.000
5207549,AP103814.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,49.000,0.000,0.000,0.000,1.000,0.000,6.000,1.000,0.000,0.000,2.000,0.000,0.000,0.000,41.000
5207545,AP103815.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,72.000,0.000,0.000,0.000,0.000,0.000,16.000,0.000,0.000,1.000,2.000,0.000,0.000,0.000,9.000
5207541,AP103817.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,58.000,0.000,0.000,0.000,0.000,0.000,16.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,20.000
5207538,AP103818.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,8.000,1.000,0.000,0.000,8.000,0.000,0.000,0.000,73.000
5207535,AP103819.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,24.000,0.000,0.000,0.000,1.000,0.000,11.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,59.000
5207532,AP103820.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,44.000,0.000,0.000,0.000,1.000,0.000,5.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,42.000
5207528,AP103821.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,63.000,0.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,27.000
5207525,AP103822.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,69.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26.000
5207524,AP103823.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,59.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,31.000
5207519,AP103824.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,2.000,0.000,32.000,1.000,0.000,1.000,22.000,0.000,0.000,0.000,32.000
5207517,AP103825.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,2.000,0.000,5.000,0.000,0.000,0.000,19.000,0.000,0.000,0.000,49.000
5207516,AP103826.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,22.000,0.000,0.000,0.000,0.000,0.000,31.000,2.000,0.000,0.000,4.000,0.000,0.000,0.000,41.000
5207511,AP103827.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,26.000,0.000,0.000,0.000,0.000,0.000,44.000,3.000,0.000,0.000,14.000,0.000,0.000,0.000,13.000
5207455,AP103830.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,0.000,13.000,2.000,0.000,0.000,45.000,0.000,0.000,0.000,20.000
5207453,AP103831.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,44.000,0.000,0.000,0.000,4.000,0.000,4.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,44.000
5207450,AP103832.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,43.000,0.000,0.000,0.000,1.000,0.000,14.000,1.000,0.000,0.000,20.000,0.000,0.000,0.000,21.000
